,num,1,2,3,4,5,6,bonus
850,114,11,14.0,19.0,26.0,28.0,41.0,2
849,115,1,2.0,6.0,9.0,25.0,28.0,31
848,116,2,4.0,25.0,31.0,34.0,37.0,17
847,117,5,10.0,22.0,34.0,36.0,44.0,35
846,118,3,4.0,10.0,17.0,19.0,22.0,38
845,119,3,11.0,13.0,14.0,17.0,21.0,38
844,120,4,6.0,10.0,11.0,32.0,37.0,30
843,121,12,28.0,30.0,34.0,38.0,43.0,9
842,122,1,11.0,16.0,17.0,36.0,40.0,8
841,123,7,17.0,18.0,28.0,30.0,45.0,27
840,124,4,16.0,23.0,25.0,29.0,42.0,1
839,125,2,8.0,32.0,33.0,35.0,36.0,18
838,126,7,20.0,22.0,27.0,40.0,43.0,1
837,127,3,5.0,10.0,29.0,32.0,43.0,35
836,128,12,30.0,34.0,36.0,37.0,45.0,39
835,129,19,23.0,25.0,28.0,38.0,42.0,17
834,130,7,19.0,24.0,27.0,42.0,45.0,31
833,131,8,10.0,11.0,14.0,15.0,21.0,37
832,132,3,17.0,23.0,34.0,41.0,45.0,43
831,133,4,7.0,15.0,18.0,23.0,26.0,13
830,134,3,12.0,20.0,23.0,31.0,35.0,43
829,135,6,14.0,22.0,28.0,35.0,39.0,16
828,136,2,16.0,30.0,36.0,41.0,42.0,11
827,137,7,9.0,20.0,25.0,36.0,39.0,15
826,138,10,11.0,27.0,28.0,37.0,39.0,19
825,139,9,11.0,15.0,20.0,28.0,43.0,13
824,140,3,13.0,17.0,18.0,19.0,28.0,8
823,141,8,12.0,29.0,31.0,42.0,43.0,2
822,142,12,16.0,30.0,34.0,40.0,44.0,19
821,143,26,27.0,28.0,42.0,43.0,45.0,8
820,144,4,15.0,17.0,26.0,36.0,37.0,43
819,145,2,3.0,13.0,20.0,27.0,44.0,9
818,146,2,19.0,27.0,35.0,41.0,42.0,25
817,147,4,6.0,13.0,21.0,40.0,42.0,36
816,148,21,25.0,33.0,34.0,35.0,36.0,17
815,149,2,11.0,21.0,34.0,41.0,42.0,27
814,150,2,18.0,25.0,28.0,37.0,39.0,16
813,151,1,2.0,10.0,13.0,18.0,19.0,15
812,152,1,5.0,13.0,26.0,29.0,34.0,43
811,153,3,8.0,11.0,12.0,13.0,36.0,33
810,154,6,19.0,21.0,35.0,40.0,45.0,20
809,155,16,19.0,20.0,32.0,33.0,41.0,4
808,156,5,18.0,28.0,30.0,42.0,45.0,2
807,157,19,26.0,30.0,33.0,35.0,39.0,37
806,158,4,9.0,13.0,18.0,21.0,34.0,7
805,159,1,18.0,30.0,41.0,42.0,43.0,32
804,160,3,7.0,8.0,34.0,39.0,41.0,1
803,161,22,34.0,36.0,40.0,42.0,45.0,44
802,162,1,5.0,21.0,25.0,38.0,41.0,24
801,163,7,11.0,26.0,28.0,29.0,44.0,16
800,164,6,9.0,10.0,11.0,39.0,41.0,27
799,165,5,13.0,18.0,19.0,22.0,42.0,31
798,166,9,12.0,27.0,36.0,39.0,45.0,14
797,167,24,27.0,28.0,30.0,36.0,39.0,4
796,168,3,10.0,31.0,40.0,42.0,43.0,30
795,169,16,27.0,35.0,37.0,43.0,45.0,19
794,170,2,11.0,13.0,15.0,31.0,42.0,10
793,171,4,16.0,25.0,29.0,34.0,35.0,1
792,172,4,19.0,21.0,24.0,26.0,41.0,35
791,173,3,9.0,24.0,30.0,33.0,34.0,18
790,174,13,14.0,18.0,22.0,35.0,39.0,16
789,175,19,26.0,28.0,31.0,33.0,36.0,17
788,176,4,17.0,30.0,32.0,33.0,34.0,15
787,177,1,10.0,13.0,16.0,37.0,43.0,6
786,178,1,5.0,11.0,12.0,18.0,23.0,9
785,179,5,9.0,17.0,25.0,39.0,43.0,32
784,180,2,15.0,20.0,21.0,29.0,34.0,22
783,181,14,21.0,23.0,32.0,40.0,45.0,44
782,182,13,15.0,27.0,29.0,34.0,40.0,35
781,183,2,18.0,24.0,34.0,40.0,42.0,5
780,184,1,2.0,6.0,16.0,20.0,33.0,41
779,185,1,2.0,4.0,8.0,19.0,38.0,14
778,186,4,10.0,14.0,19.0,21.0,45.0,9
777,187,1,2.0,8.0,18.0,29.0,38.0,42
776,188,19,24.0,27.0,30.0,31.0,34.0,36
775,189,8,14.0,32.0,35.0,37.0,45.0,28
774,190,8,14.0,18.0,30.0,31.0,44.0,15
773,191,5,6.0,24.0,25.0,32.0,37.0,8
772,192,4,8.0,11.0,18.0,37.0,45.0,33
771,193,6,14.0,18.0,26.0,36.0,39.0,13
770,194,15,20.0,23.0,26.0,39.0,44.0,28
769,195,7,10.0,19.0,22.0,35.0,40.0,31
768,196,35,36.0,37.0,41.0,44.0,45.0,30
767,197,7,12.0,16.0,34.0,42.0,45.0,4
766,198,12,19.0,20.0,25.0,41.0,45.0,2
765,199,14,21.0,22.0,25.0,30.0,36.0,43
764,200,5,6.0,13.0,14.0,17.0,20.0,7
763,201,3,11.0,24.0,38.0,39.0,44.0,26
762,202,12,14.0,27.0,33.0,39.0,44.0,17
761,203,1,3.0,11.0,24.0,30.0,32.0,7
760,204,3,12.0,14.0,35.0,40.0,45.0,5
759,205,1,3.0,21.0,29.0,35.0,37.0,30
758,206,1,2.0,3.0,15.0,20.0,25.0,43
757,207,3,11.0,14.0,31.0,32.0,37.0,38
756,208,14,25.0,31.0,34.0,40.0,44.0,24
755,209,2,7.0,18.0,20.0,24.0,33.0,37
754,210,10,19.0,22.0,23.0,25.0,37.0,39
753,211,12,13.0,17.0,20.0,33.0,41.0,8
752,212,11,12.0,18.0,21.0,31.0,38.0,8
751,213,2,3.0,4.0,5.0,20.0,24.0,42
750,214,5,7.0,20.0,25.0,28.0,37.0,32
749,215,2,3.0,7.0,15.0,43.0,44.0,4
748,216,7,16.0,17.0,33.0,36.0,40.0,1
747,217,16,20.0,27.0,33.0,35.0,39.0,38
746,218,1,8.0,14.0,18.0,29.0,44.0,20
745,219,4,11.0,20.0,26.0,35.0,37.0,16
744,220,5,11.0,19.0,21.0,34.0,43.0,31
743,221,2,20.0,33.0,35.0,37.0,40.0,10
742,222,5,7.0,28.0,29.0,39.0,43.0,44
741,223,1,3.0,18.0,20.0,26.0,27.0,38
740,224,4,19.0,26.0,27.0,30.0,42.0,7
739,225,5,11.0,13.0,19.0,31.0,36.0,7
738,226,2,6.0,8.0,14.0,21.0,22.0,34
737,227,4,5.0,15.0,16.0,22.0,42.0,2
736,228,17,25.0,35.0,36.0,39.0,44.0,23
735,229,4,5.0,9.0,11.0,23.0,38.0,35
734,230,5,11.0,14.0,29.0,32.0,33.0,12
733,231,5,10.0,19.0,31.0,44.0,45.0,27
732,232,8,9.0,10.0,12.0,24.0,44.0,35
731,233,4,6.0,13.0,17.0,28.0,40.0,39
730,234,13,21.0,22.0,24.0,26.0,37.0,4
729,235,21,22.0,26.0,27.0,31.0,37.0,8
728,236,1,4.0,8.0,13.0,37.0,39.0,7
727,237,1,11.0,17.0,21.0,24.0,44.0,33
726,238,2,4.0,15.0,28.0,31.0,34.0,35
725,239,11,15.0,24.0,39.0,41.0,44.0,7
724,240,6,10.0,16.0,40.0,41.0,43.0,21
723,241,2,16.0,24.0,27.0,28.0,35.0,21
722,242,4,19.0,20.0,21.0,32.0,34.0,43
721,243,2,12.0,17.0,19.0,28.0,42.0,34
720,244,13,16.0,25.0,36.0,37.0,38.0,19
719,245,9,11.0,27.0,31.0,32.0,38.0,22
718,246,13,18.0,21.0,23.0,26.0,39.0,15
717,247,12,15.0,28.0,36.0,39.0,40.0,13
716,248,3,8.0,17.0,23.0,38.0,45.0,13
715,249,3,8.0,27.0,31.0,41.0,44.0,11
714,250,19,23.0,30.0,37.0,43.0,45.0,38
713,251,6,7.0,19.0,25.0,28.0,38.0,45
712,252,14,23.0,26.0,31.0,39.0,45.0,28
711,253,8,19.0,25.0,31.0,34.0,36.0,33
710,254,1,5.0,19.0,20.0,24.0,30.0,27
709,255,1,5.0,6.0,24.0,27.0,42.0,32
708,256,4,11.0,14.0,21.0,23.0,43.0,32
707,257,6,13.0,27.0,31.0,32.0,37.0,4
706,258,14,27.0,30.0,31.0,38.0,40.0,17
705,259,4,5.0,14.0,35.0,42.0,45.0,34
704,260,7,12.0,15.0,24.0,37.0,40.0,43
703,261,6,11.0,16.0,18.0,31.0,43.0,2
702,262,9,12.0,24.0,25.0,29.0,31.0,36
701,263,1,27.0,28.0,32.0,37.0,40.0,18
700,264,9,16.0,27.0,36.0,41.0,44.0,5
699,265,5,9.0,34.0,37.0,38.0,39.0,12
698,266,3,4.0,9.0,11.0,22.0,42.0,37
697,267,7,8.0,24.0,34.0,36.0,41.0,1
696,268,3,10.0,19.0,24.0,32.0,45.0,12
695,269,5,18.0,20.0,36.0,42.0,43.0,32
694,270,5,9.0,12.0,20.0,21.0,26.0,27
693,271,3,8.0,9.0,27.0,29.0,40.0,36
692,272,7,9.0,12.0,27.0,39.0,43.0,28
691,273,1,8.0,24.0,31.0,34.0,44.0,6
690,274,13,14.0,15.0,26.0,35.0,39.0,25
689,275,14,19.0,20.0,35.0,38.0,40.0,26
688,276,4,15.0,21.0,33.0,39.0,41.0,25
687,277,10,12.0,13.0,15.0,25.0,29.0,20
686,278,3,11.0,37.0,39.0,41.0,43.0,13
685,279,7,16.0,31.0,36.0,37.0,38.0,11
684,280,10,11.0,23.0,24.0,36.0,37.0,35
683,281,1,3.0,4.0,6.0,14.0,41.0,12
682,282,2,5.0,10.0,18.0,31.0,32.0,30
681,283,6,8.0,18.0,31.0,38.0,45.0,42
680,284,2,7.0,15.0,24.0,30.0,45.0,28
679,285,13,33.0,37.0,40.0,41.0,45.0,2
678,286,1,15.0,19.0,40.0,42.0,44.0,17
677,287,6,12.0,24.0,27.0,35.0,37.0,41
676,288,1,12.0,17.0,28.0,35.0,41.0,10
